country,sales_clean
United States,18710327000000.0
China,7908758000000.0
Japan,4288843000000.0
Germany,2298900000000.0
United Kingdom,2075761000000.0
France,2018200000000.0
South Korea,1653200000000.0
Canada,1269700000000.0
India,1269007000000.0
Switzerland,1091118000000.0
Hong Kong,850965000000.0
Taiwan,760300000000.0
Brazil,669300000000.0
Spain,618000000000.0
Saudi Arabia,608000000000.0
Netherlands,576786000000.0
Australia,551023000000.0
Italy,543200000000.0
Ireland,415500000000.0
Sweden,324200000000.0
Mexico,256600000000.0
Thailand,253300000000.0
Turkey,223000000000.0
Singapore,201400000000.0
Denmark,191700000000.0
Norway,179500000000.0
Belgium,157200000000.0
Austria,153000000000.0
Poland,138000000000.0
Finland,138000000000.0
United Arab Emirates,127600000000.0
Luxembourg,116000000000.0
South Africa,109800000000.0
Chile,99600000000.0
Bermuda,97100000000.0
Colombia,82800000000.0
Israel,81900000000.0
Portugal,79700000000.0
Greece,63200000000.0
Indonesia,62700000000.0
Malaysia,59600000000.0
Philippines,59100000000.0
Argentina,53300000000.0
Qatar,48500000000.0
Hungary,41000000000.0
Vietnam,32000000000.0
Kuwait,17100000000.0
Czech Republic,15300000000.0
Croatia,10800000000.0
Kazakhstan,9700000000.0
Cayman Islands,8100000000.0
Morocco,7100000000.0
Peru,7000000000.0
Nigeria,5600000000.0
Egypt,4700000000.0
Romania,2900000000.0
Jordan,2900000000.0
Oman,2200000000.0
Slovenia,1600000000.0
Cyprus,1500000000.0
